觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),最大瞬間風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
1,1004.2,1007.3,1005.5,2022/8/1 22:09,1002.6,2022/8/1 2:00,29.3,33.2,2022/8/1 11:37,27.1,2022/8/1 6:02,24.5,76,55,2022/8/1 10:28,2.2,190,7.5,250,2022/8/1 12:33,T,0.5,T,2022/8/1 16:24,T,2022/8/1 16:24,3.1,23.4,17.11,20,11,2022/8/1 12:00,9
2,1005.9,1009,1008.1,2022/8/2 10:34,1003.9,2022/8/2 16:38,27.5,28.9,2022/8/2 0:01,24.6,2022/8/2 10:35,24.4,84,74,2022/8/2 1:22,1.9,200,8.5,180,2022/8/2 5:20,91,3.6,17.5,2022/8/2 9:54,67.5,2022/8/2 9:42,0,0,6.34,14,4,2022/8/2 14:00,9.6
3,1006.1,1009.1,1007.3,2022/8/3 22:08,1004.6,2022/8/3 14:55,28.7,32.3,2022/8/3 11:07,26.8,2022/8/3 5:27,23.9,76,60,2022/8/3 10:59,2,20,10.7,180,2022/8/3 16:10,T,0.2,T,2022/8/3 13:56,T,2022/8/3 13:56,1,7.6,13.75,34,11,2022/8/3 11:00,9.4
4,1006.7,1009.8,1008.5,2022/8/4 21:33,1005.4,2022/8/4 3:45,29.2,33.6,2022/8/4 12:51,26.7,2022/8/4 21:02,23.8,74,53,2022/8/4 13:31,2.6,190,14.7,190,2022/8/4 16:01,2,0.7,1,2022/8/4 20:38,2,2022/8/4 20:09,8.7,65.8,23.29,26,11,2022/8/4 11:00,5
5,1006.7,1009.8,1007.7,2022/8/5 0:01,1004.8,2022/8/5 16:08,29.7,34.1,2022/8/5 12:16,26.5,2022/8/5 5:37,24.4,75,52,2022/8/5 12:17,2.3,10,8.5,270,2022/8/5 14:12,1,0.8,1,2022/8/5 19:13,1,2022/8/5 19:13,7.7,59,22.17,48,14,2022/8/5 12:00,6.4
6,1005.5,1008.5,1007.3,2022/8/6 0:01,1003.4,2022/8/6 15:37,29.6,33.1,2022/8/6 10:37,27.6,2022/8/6 4:47,25.2,78,60,2022/8/6 10:38,2.1,300,8.4,280,2022/8/6 14:52,0.5,0.9,0.5,2022/8/6 15:24,0.5,2022/8/6 14:50,7.4,56.8,21.4,35,12,2022/8/6 13:00,5.6
7,1005.3,1008.4,1007.3,2022/8/7 23:00,1003.4,2022/8/7 14:23,28.7,33.5,2022/8/7 11:55,25.7,2022/8/7 17:31,24.3,78,57,2022/8/7 11:55,1.8,100,9.3,320,2022/8/7 15:01,36.5,2.8,15,2022/8/7 14:55,35,2022/8/7 14:40,3.9,30,12.47,21.6,8,2022/8/7 12:00,7.2
8,1005.4,1008.5,1007,2022/8/8 0:01,1003.2,2022/8/8 15:21,29.5,34.3,2022/8/8 14:44,26.2,2022/8/8 4:12,23.2,69,50,2022/8/8 11:29,1.8,60,11.1,20,2022/8/8 18:33,0,0,0,--,0,--,8.2,62.4,20.74,17.4,11,2022/8/8 11:00,5.4
9,1005.1,1008.2,1006.8,2022/8/9 22:13,1003.6,2022/8/9 15:12,29.1,33.4,2022/8/9 12:04,26.9,2022/8/9 13:50,24.7,78,59,2022/8/9 12:05,1.9,20,9.6,180,2022/8/9 13:37,11.5,1.7,7,2022/8/9 13:42,11,2022/8/9 13:40,4,30.8,13.18,9.2,7,2022/8/9 12:00,8
10,1005.7,1008.8,1007.8,2022/8/10 21:25,1003.7,2022/8/10 5:50,28.9,34.9,2022/8/10 13:40,25.7,2022/8/10 18:09,24.2,77,49,2022/8/10 12:46,2.4,360,9.4,310,2022/8/10 15:12,29,3.1,7.5,2022/8/10 16:04,19,2022/8/10 16:04,7.2,54.9,20.33,22,13,2022/8/10 13:00,4.6
11,1006.7,1009.8,1008.5,2022/8/11 22:16,1005,2022/8/11 14:45,28.8,32.7,2022/8/11 10:53,26.3,2022/8/11 5:26,24.8,80,61,2022/8/11 10:50,2,280,8.2,300,2022/8/11 14:44,2,2.6,1,2022/8/11 19:20,1.5,2022/8/11 19:00,6.9,52.7,19.8,34,10,2022/8/11 12:00,4.6
12,1006.6,1009.7,1007.8,2022/8/12 10:01,1005.5,2022/8/12 5:04,28.6,33.3,2022/8/12 12:18,26.3,2022/8/12 6:11,24.3,78,57,2022/8/12 12:18,2.1,110,9.1,270,2022/8/12 13:46,3.5,2.7,0.5,2022/8/12 16:55,2,2022/8/12 17:29,8.1,62.7,22.08,26.4,15,2022/8/12 13:00,5.4
13,1005.9,1009,1006.7,2022/8/13 0:01,1004.5,2022/8/13 15:43,29.2,33,2022/8/13 15:11,26.2,2022/8/13 4:29,24.3,75,59,2022/8/13 15:01,2.1,90,7.8,280,2022/8/13 15:17,0,0,0,--,0,--,8.1,62.1,21.62,29,14,2022/8/13 13:00,5.8
14,1004.9,1007.9,1006.1,2022/8/14 0:01,1003.5,2022/8/14 16:11,30.2,33.6,2022/8/14 13:48,26.8,2022/8/14 5:54,24.2,71,59,2022/8/14 14:52,2.3,310,9.1,290,2022/8/14 14:37,0,0,0,--,0,--,7.7,59.8,20.89,62,12,2022/8/14 14:00,4.4
15,1004.1,1007.2,1005.1,2022/8/15 21:49,1002.9,2022/8/15 13:51,28.8,33.1,2022/8/15 13:36,24.9,2022/8/15 15:05,24.4,78,55,2022/8/15 13:57,2,120,8.7,120,2022/8/15 14:56,20.5,2.5,5.5,2022/8/15 14:51,18.5,2022/8/15 14:33,2.8,21.5,12.11,24,8,2022/8/15 14:00,8.2
16,1004.3,1007.4,1006,2022/8/16 22:42,1002.8,2022/8/16 14:42,28.8,33.9,2022/8/16 11:34,26.1,2022/8/16 19:49,24.5,78,53,2022/8/16 11:28,2,20,9.7,340,2022/8/16 14:31,19,2.1,7,2022/8/16 14:02,14.5,2022/8/16 14:02,6.9,53.7,18.03,22,11,2022/8/16 11:00,5.4
17,1004.8,1007.9,1006.4,2022/8/17 21:48,1002.9,2022/8/17 15:31,28.5,32.2,2022/8/17 11:51,25.4,2022/8/17 19:30,25,82,63,2022/8/17 11:52,2.6,220,9.3,240,2022/8/17 14:37,28,4.3,10.5,2022/8/17 17:41,17,2022/8/17 17:43,4.2,32.4,18.91,40,13,2022/8/17 13:00,7.2
18,1004.5,1007.6,1005.8,2022/8/18 22:53,1003,2022/8/18 4:12,27.1,31.1,2022/8/18 10:22,25.2,2022/8/18 19:15,24.9,88,67,2022/8/18 9:57,1.9,90,7.9,170,2022/8/18 17:41,46.5,3.6,9.5,2022/8/18 13:03,29,2022/8/18 12:47,1,7.8,8.92,22,7,2022/8/18 10:00,9.8
19,1005.4,1008.5,1007.9,2022/8/19 22:15,1003.8,2022/8/19 2:35,29.1,32.5,2022/8/19 12:24,25.6,2022/8/19 3:39,24.4,76,61,2022/8/19 9:21,4.8,180,14.3,170,2022/8/19 9:23,0,0,0,--,0,--,11.7,91.5,26.61,45,14,2022/8/19 13:00,3
20,1007.2,1010.2,1008.5,2022/8/20 21:33,1006.1,2022/8/20 15:31,30,33.3,2022/8/20 12:09,27.3,2022/8/20 3:42,24.2,72,52,2022/8/20 11:32,2.6,260,8,250,2022/8/20 13:49,0,0,0,--,0,--,11.9,93.3,26.81,20,13,2022/8/20 12:00,1.6
21,1005.7,1008.7,1007.7,2022/8/21 0:01,1004.3,2022/8/21 15:10,30,33,2022/8/21 14:10,27.3,2022/8/21 5:18,24.3,72,53,2022/8/21 11:38,2.6,300,9.5,310,2022/8/21 14:37,0,0,0,--,0,--,10.9,85.6,25.9,28,13,2022/8/21 12:00,7.4
22,1003.6,1006.6,1005.2,2022/8/22 9:10,1001.8,2022/8/22 17:16,30.5,33.4,2022/8/22 13:08,28.2,2022/8/22 5:08,25.5,75,63,2022/8/22 10:50,2,190,7.2,320,2022/8/22 14:43,0,0,0,--,0,--,11.2,88.1,26.5,43,14,2022/8/22 13:00,3
23,1002.6,1005.6,1004.3,2022/8/23 9:13,1000.4,2022/8/23 17:11,31.1,34.3,2022/8/23 14:23,29.2,2022/8/23 5:22,25.2,71,55,2022/8/23 15:03,3.2,340,9.4,320,2022/8/23 13:42,0,0,0,--,0,--,9.2,72.5,23.74,32,13,2022/8/23 13:00,5.2
24,1003.4,1006.4,1007.1,2022/8/24 23:12,1000.6,2022/8/24 3:16,30.5,32.2,2022/8/24 14:41,29,2022/8/24 5:34,24.5,71,57,2022/8/24 18:44,2.8,150,11.3,160,2022/8/24 18:09,T,0.8,T,2022/8/24 0:06,T,2022/8/24 0:06,2.2,17.4,11.25,15.6,8,2022/8/24 12:00,8.6
25,1007.8,1010.8,1010.4,2022/8/25 22:01,1005.6,2022/8/25 3:38,30.5,33.7,2022/8/25 10:52,28,2022/8/25 5:45,23.7,67,52,2022/8/25 11:26,3.8,190,11.6,200,2022/8/25 14:15,0,0,0,--,0,--,11.1,86.8,25.6,46,14,2022/8/25 12:00,3.6
26,1008.1,1011.1,1009.9,2022/8/26 0:01,1006.5,2022/8/26 15:08,30.6,33.4,2022/8/26 11:48,28.1,2022/8/26 4:24,24.4,70,57,2022/8/26 15:44,2.7,310,9,310,2022/8/26 12:28,0,0,0,--,0,--,11.2,88.7,25.86,40,13,2022/8/26 13:00,7
27,1005.9,1008.9,1008.5,2022/8/27 0:01,1003.3,2022/8/27 16:22,30.7,33.9,2022/8/27 13:16,28.6,2022/8/27 4:20,25.8,76,59,2022/8/27 13:11,2.1,240,6.6,240,2022/8/27 13:02,0,0,0,--,0,--,8.7,69,22.87,43,13,2022/8/27 13:00,6.6
28,1006.5,1009.5,1008.5,2022/8/28 22:47,1004.8,2022/8/28 4:24,29.2,34.2,2022/8/28 10:33,25.8,2022/8/28 16:56,24.9,78,56,2022/8/28 10:34,2,60,9.4,100,2022/8/28 15:14,6.5,4.2,1,2022/8/28 15:36,3.5,2022/8/28 15:36,5.2,40.9,14.46,15.4,12,2022/8/28 12:00,6.6
29,1007.4,1010.5,1008.6,2022/8/29 11:11,1006,2022/8/29 16:03,28.7,32.1,2022/8/29 12:57,26.1,2022/8/29 0:15,24.7,79,67,2022/8/29 10:57,2,260,7.5,250,2022/8/29 15:08,T,0.1,T,2022/8/29 17:39,T,2022/8/29 17:39,8,63.7,21.22,30,11,2022/8/29 13:00,5.4
30,1005.6,1008.6,1008,2022/8/30 0:01,1003.6,2022/8/30 15:21,29.8,33,2022/8/30 13:24,27.4,2022/8/30 5:30,25.1,76,64,2022/8/30 11:25,2.4,130,7.7,260,2022/8/30 12:11,T,0.1,T,2022/8/30 18:54,T,2022/8/30 18:54,8.2,64.6,23.44,22,13,2022/8/30 12:00,6.2
31,1003.1,1006.1,1004.8,2022/8/31 0:01,1000.7,2022/8/31 15:30,30,33.7,2022/8/31 12:39,27.3,2022/8/31 5:41,24.6,73,56,2022/8/31 12:30,2.3,130,8,340,2022/8/31 15:33,0,0,0,--,0,--,7.2,57.5,19.37,16.4,13,2022/8/31 13:00,5.8